Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20160302,"Gold posts solid gains, amid hints of strong February U.S. jobs report","Gold, Futures, Employment, Fed, Interest Rates",Gold Soars as Futures Rise Amid Strong U.S. Employment Data and Fed Speculation,Gold Futures Surge with Positive U.S. Employment Data and Dollar Strength,Impact of U.S. Labor Data on Gold Futures and Federal Reserve Interest Rate Policies,Gold futures rise amid solid U.S. employment data and strong dollar ahead of critical jobs report
20160302,Gold prices briefly turn lower after stronger than expected ADP data,"Gold futures, employment data, Federal Reserve, labor market, rate hike",Gold futures slide as strong U.S. employment data signals potential Fed rate hike,Gold futures fluctuate amid stronger-than-expected U.S. employment data,U.S. Labor Market Strengthens: Implications for Future Federal Reserve Policy,Gold futures dip with Fed rate hike expectations as U.S. nonfarm employment beats forecasts
20160302,Gold prices inch lower ahead of ADP jobs report,"gold futures, U.S. data, rate hikes, employment report, dollar index",Gold Futures Dip as Investors Await Key U.S. Employment Data,Gold Futures Edge Down Amid Anticipation of U.S. Jobs Reports,Gold Futures Decrease: Implications for U.S. Economic Indicators and Federal Reserve Policy,Gold futures slightly lower as market eyes U.S. data and rate hike hints
20160302,Gold prices weaker in Asia as U.S. jobs data views assessed,"gold, silver, interest rates, U.S. jobs data, Federal Reserve",Gold Dips on Interest Rate Speculation Ahead of Key U.S. Jobs Data,Precious Metals Mixed as Investors Await Key U.S. Jobs Report,Divergence in Precious Metals Markets Amid Federal Reserve Policy Anticipation,"Gold declines, silver rises as investors speculate on interest rates ahead of U.S. jobs report"
20160302,Hess names former Deloitte CEO James Quigley as Chairman of Board,"Hess Corporation, Board of Directors, Chairman, James Quigley, Mark Williams",James Quigley to Lead Hess Corporation Board as Mark Williams Retires,Hess Corporation Announces Leadership Change with Chairman Mark Williams Retiring,Hess Corporation Appoints James Quigley as Chairman Succeeding Retiring Mark Williams,Hess announces James Quigley as new Chairman following Mark Williams' retirement due to health reasons
20160302,"High life, low coal price sends Australian mining baron bankrupt","bankruptcy, coal mining, Nathan Tinkler, private jet, Australia",Coal Mining Baron Nathan Tinkler Declared Bankrupt After Private Jet Default,Nathan Tinkler’s Meteoric Rise and Fall in Australian Coal Industry,Exploration of Nathan Tinkler's Bankruptcy Amid Volatile Coal Market Trends,Coal mining magnate Nathan Tinkler declared bankrupt over unpaid debt for private jet after fortunes collapse.
20160302,Natural gas prices sink to 17-year low ahead of weekly storage report,"natural gas, U.S. futures, 17-year low, storage, demand",U.S. Natural Gas Futures Hit 17-Year Low Amid High Storage Levels,Natural Gas Prices Plunge as Warm Winter Curbs Demand,Analysis of Declining U.S. Natural Gas Futures and Inventory Surplus,U.S. natural gas futures reach 17-year low due to reduced heating demand and high storage levels
20160302,NYMEX crude scratches out gains in Asia,"Crude prices, inventory reports, WTI crude, global supply, production levels",Crude Prices Nudge Higher as Investors Shake Off Bearish U.S. Inventory Reports,Crude Prices Rise Despite Record U.S. Inventories,U.S. Crude Oil Inventory Surge and Production Trends Amid Global Supply Challenges,Crude prices rise as investors shrug off bearish U.S. inventory reports; WTI crude gains 0.26% to $34.75 a barrel
20160302,NYMEX crude shrugs off bearish U.S. inventories and gains in Asia,"Crude prices, U.S. inventories, WTI Crude, Brent Crude, Saudi Arabia",Crude Prices Surge as U.S. Inventories Hit Record Highs,Oil Prices Climb Despite Record U.S. Inventory Levels,U.S. Crude Inventories and Production Trends: Current and Future Implications,U.S. crude stocks hit record high; oil prices rise slightly
20160302,Oil lower on U.S. inventory build,"Oil prices, U.S. crude stockpiles, American Petroleum Institute, Energy Information Administration, market speculation",Oil Prices Drop Amid Massive U.S. Crude Inventory Surge,Massive U.S. Crude Stockpile Surge Causes Oil Price Drop,Impact of Record U.S. Crude Oil Stockpiles on Market Forecasts,"Oil prices dropped as U.S. crude stockpiles surged, surpassing analyst expectations."
20160302,Statoil and ExxonMobil win Irish oil licenses,"Statoil, ExxonMobil, offshore, Ireland, seismic surveys",Statoil and ExxonMobil Win Offshore Exploration Rights in Ireland,Oil Majors Win Exploration Rights in Ireland's Licensing Round,Offshore Licensing Round Awards Statoil and ExxonMobil New Opportunities,"Statoil and ExxonMobil awarded offshore exploration rights in Ireland, to conduct seismic surveys in 2016-2017."
20160302,U.S. oil futures edge lower after API report shows huge supply build,"oil prices, crude inventories, production freeze, oil futures, shale oil",US oil prices drop on oversupply concerns as production freeze talks continue,Oil prices decline amid speculation over rising U.S. crude inventories,Impact of Increased U.S. Crude Inventories on Oil Prices Amid Production Freeze Discussions,"US oil prices fall on supply data, production freeze talks, and rising inventories"
20160302,WTI oil futures plunge 2% after bearish weekly stockpile data,"oil supplies, crude oil, U.S. inventories, production freeze, market share",Oil Prices Drop as U.S. Inventories Hit Record Highs,Record U.S. Oil Inventory Triggers Price Plunge,"U.S. Crude Oil Inventories Reach Record High, Prices Decline",Crude oil falls 1.8% as U.S. inventories surge to 518 million barrels
20160303,"A flawed visionary, McClendon ignited shale revolution, courted controversy","Hydraulic fracturing, Chesapeake Energy, Aubrey McClendon, U.S. Department of Justice, Oklahoma City",Oil Magnate Aubrey McClendon Dies in Crash Amid Fracking and Fraud Controversies,Aubrey McClendon: Energy Tycoon Behind U.S. Fracking Revolution Dies in Car Crash,Energy Executive Aubrey McClendon Dies Amid Federal Indictment and Fracking Legacy,"Aubrey McClendon, influential fracking pioneer and former Chesapeake CEO, died in a car crash amid legal controversies"
20160303,"Crude relatively flat, as investors weigh odds of OPEC production freeze","Brent crude, OPEC, production freeze, oil prices, WTI crude",OPEC Production Freeze Speculation Keeps Oil Prices Volatile,Volatile Oil Market Sees WTI and Brent Prices Fluctuate,Crude Futures Fluctuate Near One-Month Highs Amid OPEC Freeze Speculation,Crude oil futures near one-month highs as investors assess potential OPEC production freeze
20160303,"Energy pioneer McClendon dies in fiery car crash, a day after indictment","Aubrey McClendon, shale gas, antitrust charges, car crash, Chesapeake Energy",Ex-Chesapeake CEO Aubrey McClendon Dies in Tragic Car Crash Post Antitrust Charges,Tragic End for Energy Visionary Aubrey McClendon After Antitrust Charges,"Fatal Accident Claims Life of Aubrey McClendon, Former Chesapeake Energy CEO, Amid Antitrust Allegations",Ex-Chesapeake CEO Aubrey McClendon dies in car crash one day after being charged with federal antitrust violations
20160303,Gold drifts higher ahead of U.S. service sector data,"gold, U.S. data, rate hikes, nonfarm payrolls, global economy",Gold Rises as Investors Await U.S. Data on Rate Hikes and Nonfarm Payrolls,Gold Futures Inch Up Amid Anticipation of Key U.S. Economic Data Releases,Market Response to U.S. Economic Indicators and Central Bank Policies: An Analysis,"Gold edges higher as investors await U.S. jobless claims, service sector growth, and nonfarm payrolls data"
20160303,Gold prices re-approach 1-year high after ISM services data,"Gold, futures, non-manufacturing, economic data, Federal Reserve",Gold Futures Surge Amid Slowing U.S. Economic Growth Data,Gold Futures Spike to Session Highs as U.S. Service Sector Slows,Impact of U.S. Service Sector Activity on Gold Futures Prices,"Gold futures rise after U.S. non-manufacturing data shows slowest growth in two years, suggesting economic concerns and potential Federal Reserve rate hikes are influencing market dynamics."
20160303,Gold prices tick higher in Asia with U.S. jobs data eyed,"gold, U.S. jobs data, Fed interest rate, unemployment rate, wage gains",Gold edges higher ahead of crucial U.S. jobs data,Gold prices rise as U.S. jobs data looms,U.S. Job Market Expectations and Their Implications for Federal Reserve Policy,Gold prices inch higher with U.S. jobs data set to influence Fed decisions
20160303,"Gold surges to fresh 1-year high, amid subdued data ahead of jobs report","Gold futures, U.S. economic data, jobs report, industrial activity, Federal Reserve",Gold futures surge to 12-month high amid weak U.S. economic data,Gold futures reach new peak driven by mixed U.S. economic reports,U.S. Economic Deterioration Correlates with Surge in Gold Futures to Annual Highs,Gold futures hit 12-month high as investors react to weak U.S. economic data ahead of February jobs report
20160303,Iran expected to raise March oil exports,"Iran, oil exports, Europe, sanctions, global oversupply","Iran Boosts Oil Exports Amid Oversupply, Targeting European Market",Iran to Increase Oil Shipments to Europe as Global Supplies Surge,Iran's March Oil Export Strategy: Increase to 1.65 Million Barrels amid Market Challenges,"Iran plans to raise oil exports to 1.65 million bpd in March, targeting Europe amid low prices and global oversupply"
20160303,Iran hopes to raise March oil exports on higher European sales: sources,"Iran, oil exports, Europe, sanctions, production",Iran Increases Oil Exports to Europe as Sanctions Lift,"Iran Boosts Oil Exports to Europe, Targets Pre-Sanction Market",Increase in Iranian Oil Exports to Europe Post-Sanctions Lift,"Iran to boost oil exports to 1.65 million bpd in March, driven by increased shipments to Europe after lifting of sanctions"
20160303,Natural gas prices bounce off 17-year lows after U.S. storage data,"Natural gas futures, U.S. storage data, price recovery, El Niño, heating demand",Natural Gas Futures Rebound as U.S. Storage Data Exceeds Expectations,Natural Gas Prices Recover from 17-Year Lows Amid Surging Storage Data,Fluctuations in U.S. Natural Gas Futures: An Analytical Look After Storage Decline,U.S. natural gas futures recover from 17-year lows after higher-than-expected storage decrease.
20160303,NYMEX crude posts further gains in Asia with supply picture mixed,"crude oil, rig count, OPEC, production freeze, oil prices",OPEC Considers Production Freeze as Crude Oil Prices Gain on Rig Count Reduction,Crude Oil Prices Surge Ahead of Critical US Rig Count Data,Analysis of Potential Production Freeze Strategies in Light of Recent Crude Oil Price Fluctuations,Crude oil prices rise in Asia as markets anticipate US rig count data and OPEC production decisions
20160303,"NYMEX crude up in Asia with U.S. rig count, Iran in focus","crude oil, prices, OPEC, Iran, production freeze",Crude Oil Prices Rally as OPEC Discussions Intensify and Iran Ramps Up Production,Oil Prices Surge Amid OPEC Production Freeze Talks and U.S. Rig Count Decline,Impact of OPEC and Non-OPEC Discussions on Crude Oil Prices and Market Stability,Crude oil prices gain in Asia as rig count data is awaited and Iran increases exports
20160303,"Oil prices fall from 8-week highs, reduced output hopes limit losses","Oil Prices, OPEC Meeting, Output Freeze, US Shale, Crude Stockpiles","Oil Prices Fall Amid Hopes of Output Freeze as OPEC, Non-OPEC Talks Loom",Oil Prices Slip from Eight-Week Highs as Market Awaits Production Freeze Talks,Analyzing the Impact of Potential Production Freezes on Current Oil Prices,Oil prices dip despite speculation of output freeze by major producers
20160303,Oil pulls back from 2-month highs but sentiment remains upbeat,"Oil prices, crude futures, U.S. production, stockpiles, market rout",Oil Prices Dip Slightly as U.S. Stockpiles Hit Record Highs,Oil Prices Pull Back amid Record U.S. Stockpiles and Market Uncertainty,Analysis of U.S. Crude Oil Market Trends and Stockpile Data,"Oil prices dip in Europe; U.S. stockpiles at all-time high, but market signals possible end of downturn"
20160303,Oil slips as record U.S. crude stocks damp sentiment,"Oil prices, crude inventories, market rout, demand, global production","Record U.S. Crude Inventories Push Oil Prices Lower, Market Rout Continues",Oil Prices Drop as U.S. Crude Inventories Surge to New Record,Impact of Surging U.S. Crude Inventories on Global Oil Price Stability,"Oil prices drop as U.S. crude inventories hit a record high, extending the market rout."
20160303,Russia's Rosneft reports large oil spill on Sakhalin island,"Rosneft, oil spill, Sakhalin, ecological damage, Greenpeace",Ecologists Challenge Rosneft's Estimated Scale of Sakhalin Oil Spill,Rosneft's Oil Spill on Pacific Island Sparks Ecological Concern and Activist Outcry,Quantitative Analysis and Ecological Impact of Rosneft's Pipeline Oil Spill in Sakhalin,"Rosneft oil spill in Sakhalin reveals systemic issues, local ecologists report significant underestimation."
20160304,"Crude hits near 2016 highs as dollar weakens, rigs continue to fall","crude futures, interest rate hike, U.S. oil rigs, historic glut, dollar strength",Crude Futures Surge as Fed Rate Hike Delay and Falling U.S. Oil Rigs Buoy Market,Fed Rate Hike Pause Sends Crude Futures to Two-Month Highs,Impact of Federal Reserve Interest Rate Decisions on Crude Oil Futures: An Empirical Analysis,Crude oil futures rise due to delayed Fed rate hike and falling U.S. oil rigs.
20160304,"Facing record oversupply, U.S. oil looks for a home in Europe","U.S. oil inventories, Europe crude imports, higher prices, shipping costs, light sweet oil",U.S. Crude Shipments Surge to Europe as Prices and Shipping Costs Align,U.S. Crude Exports to Europe Spike Amid Favorable Market Conditions,U.S. Crude Exports to Europe: Market Dynamics and Economic Implications,"With U.S. oil inventories at record highs, crude flows to Europe due to favorable prices and shipping costs."
20160304,"Gold rises near 1-year highs, U.S. data on tap","Gold, U.S. economy, nonfarm payrolls, Fed policy, metals trading",Gold Prices Near One-Year High as Investors Await U.S. Payroll Data,Gold Futures Edge Higher Amid Anticipation of Key U.S. Economic Data,Impact of U.S. Economic Indicators on Gold and Metal Futures Prices,Gold prices rise to near one-year peak as investors await key U.S. employment report
20160304,"Gold surges to 13-month high, as investors bet on delayed Fed hike","gold, Federal Reserve, hourly wages, interest rate, nonfarm payrolls",Gold Soars to 13-Month High Amid Expectations of Slower Fed Rate Hikes,Gold Hits 13-Month Peak as Fed Rate Hike Fears Ease,Market Analysis: Gold Prices Spike as Fed Signals Slower Interest Rate Increases,Gold surges to 13-month high as expectations of slower Fed rate hikes grow
20160304,Oil edges lower ahead of U.S. jobs report,"oil prices, U.S. inventories, U.S. production cuts, jobs data, oversupply concerns",Oil Prices Slip as Rising U.S. Inventories Offset Production Cuts,Oil Prices Drop Amid Record U.S. Inventories and Uncertain Jobs Data,Analysis of U.S. Crude Inventories' Impact on Oil Prices,Oil prices dip with rising U.S. inventories and falling production
20160304,Oil slump has uneven impact on global prices at the pump,"oil prices, gasoline prices, subsidies, motorists, fuel tax",Global Oil Price Collapse Drives Uneven Savings at the Pump,Oil Prices Drop Unevenly Benefits Motorists,Impacts of Global Oil Price Decline on Retail Gasoline Prices: A Comparative Analysis,Global oil price drop results in mixed effects on fuel costs worldwide
20160304,U.S. moves to dismiss case against ex-Chesapeake CEO after his death,"Justice Department, Aubrey McClendon, Chesapeake Energy, criminal indictment, antitrust laws",Justice Department Drops Antitrust Charges Against Deceased Chesapeake Energy CEO McClendon,Charges Against Former Chesapeake Energy CEO Dropped Following Fatal Crash,Dismissal of Criminal Indictment against Former Chesapeake Energy CEO Amid Antitrust Case,DOJ dismisses indictment against deceased Chesapeake Energy CEO McClendon after fatal crash
20160306,Crude oil futures - weekly outlook: March 7 - 11,"oil prices, U.S. shale production, output freeze, rig count, Brent futures","Oil Prices Surge as U.S. Rig Count Falls, Major Producers Eye Output Freeze",Oil Prices Surge with Possible Output Freeze on Horizon,Analysis of Oil Market Dynamics in Response to U.S. Shale Production and Potential OPEC Output Freeze,"Oil prices hit highest since Jan as U.S. rig count falls, hopes rise for output freeze"
20160306,Gold / Silver / Copper futures - weekly outlook: March 7 - 11,"gold, Federal Reserve, interest rates, employment data, dollar",Gold rallies to 13-month peak as weak dollar and Fed rate uncertainty boost appeal,Gold prices soar to 13-month peak driven by investor reaction to U.S. employment data and Fed outlook,Federal Reserve Impact on Interest Rates Drives 13-Month Gold Price Surge,Gold prices hit 13-month high as jobs data eases Fed rate hike expectations and weakens dollar
20160306,Gold prices drop in Asia as investors mull Fed steps after U.S. jobs,"Gold, silver, copper, Federal Reserve, inflation",Gold Prices Drop in Asia as Investors Digest U.S. Jobs Data and Federal Reserve Cues,Precious Metals Fall Amid Mixed U.S. Jobs Data and Central Bank Activity,The Impact of U.S. Employment Data on Precious Metals and Central Bank Policies,Gold prices decline in Asia as investors process U.S. jobs data and anticipate Federal Reserve actions on interest rates
20160306,Natural gas futures - weekly outlook: March 7 - 11,"natural gas, short-covering, weather forecasts, storage levels, demand",Natural Gas Prices Stabilize Amid Short-Covering and Warmer Weather Forecasts,Natural Gas Futures Rebound Slightly but Remain Near 20-Year Low,US Natural Gas Futures Experience Modest Recover Amid Forecast of Warmer Weather,"Short-covering lifts natural gas futures from 20-year low, but warmer weather dampens gains"
20160306,NYMEX crude gains further in Asia on production freeze prospects,"oil prices, production freeze, U.S. shale, OPEC deal, Brent crude",Oil Prices Surge as U.S. Rig Count Declines and OPEC Deal Nears,Oil Prices Jump with Focus on Production Freeze and U.S. Stockpile Data,Analysis of Recent Trends in Crude Oil Prices and Global Production Levels,Crude oil prices rise further in Asia as investors focus on production freeze deal and potential slowdown in U.S. production.
20160306,NYMEX crude gains strongly in Asia on production deal focus,"crude oil, production freeze, U.S. stockpile data, OPEC, shale production",Crude Oil Prices Surge Amid Hopes for OPEC Production Freeze Deal,Crude Oil Prices Spike in Asia on Speculation of Production Freeze Agreement,Recent Crude Oil Price Dynamics and Implications of Potential OPEC Production Cap,Crude oil prices rose sharply in Asia as investors focused on a potential production freeze deal and U.S. stockpile data.
20160307,Brent oil prices approach $40 as rally continues,"oil prices, market rout, production freeze, U.S. shale, rigs count",Oil Prices Hit Two-Month Highs as Market Rout Eases and Production Freeze Eyed,Oil Prices Surge Amid Production Freeze Talks and U.S. Shale Cuts,Brent and WTI Oil Futures Reach Two-Month Peaks on Prospective Output Freeze,Oil prices see significant rebound as market anticipates production freeze and U.S. shale cuts
20160307,Clinton's pledge to curtail fracking falls on unconvinced ears,"fracking, Clinton, campaign, environment, regulation",Clinton's Fracking Stand Met with Skepticism from Industry and Environmentalists,Clinton's Campaign Faces Criticism Over Fracking Pledge,Examination of Clinton's Fracking Regulations within Political and Economic Contexts,"Clinton's vow to regulate fracking faces skepticism, with industry and environmentalists doubting her ability to enact substantial change"
20160307,Crude surges 5% amid reports that OPEC oil could hit $50 a barrel,"Crude futures, OPEC strategy, oil prices, production freeze, U.S. Dollar Index",OPEC Strategy Sends Crude Futures Surging Beyond 5% Amid Speculation of $50 Oil,Crude Prices Rally on Hopes of OPEC Production Freeze and Stabilization,OPEC and Partners' Strategic Plans to Stabilize Oil Prices at $50 Per Barrel,Crude futures rise over 5% as OPEC considers production freeze to stabilize prices
20160307,Gold futures hover near 13-month high ahead of Fed speakers,"gold, Federal Reserve, interest rates, market instability, economic targets",Gold Holds Near 13-Month High as Markets Await Fed Officials' Insights on Interest Rates,Gold Futures Dip Slightly as Market Awaits Fed Speeches,Federal Reserve Officials' Upcoming Speeches Poised to Impact Market Outlook on Interest Rates,Gold futures decline slightly while interest rate hike uncertainty and economic targets influence metal markets
20160307,"Gold holds early gains, copper slumps after weak February China trade","Gold, Trade Figures, Exports, U.S. Wage Growth, Monetary Policy",Gold Advances Despite China's Trade Slump and Gloomy U.S. Wage Growth,"Markets React to U.S., China Data as Precious Metals Show Mixed Results",Analysis of Latest Trade Data and Wage Growth Trends: Implications for Global Markets,Gold holds gains despite disappointing China trade figures and weak U.S. wage growth
20160307,"Gold hovers near 1-year high, as downbeat wage growth remains in focus","Gold, wage growth, Federal Reserve, interest rates, U.S. Dollar",Gold Slips From 13-Month High as Gloomy Wage Data May Slow Fed's Rate Hikes,Gold Prices Ease After U.S. Wage Growth Falters,Federal Reserve's Potential Rate Hike Adjustments in Light of Recent U.S. Wage Data,"Gold prices decline slightly, halting gains amid weak U.S. wage growth and potential Fed rate adjustments"
20160307,"Gold prices steady below 13-month high, Fed speakers in focus","Gold, Federal Reserve, interest rates, economic growth, inflation",Gold Prices Steady as Traders Anticipate Federal Reserve Speeches,Traders Brace for Fed Insights on Economic Outlook and Rate Hikes,Evaluation of Federal Reserve Communications and Impact on Gold Futures and Macroeconomic Indicators,Gold futures flat as market awaits Federal Reserve comments on rate hikes and economic outlook
20160307,Insight: Wall Street vets battle BP in fallout over Canada refinery,"BP, NARL Refining, arbitration, crude trading, refinery",BP Accused in $110 Million Arbitration Over Canadian Refinery Dispute,Legal Battle Unfolds Over BP's Alleged Mismanagement of Canadian Refinery,Dispute Highlights Strategic Misalignment in Crude Supply Contracts: A Case Study of BP vs. NARL,"BP demands $110 million from NARL, alleging refinery mismanagement; NARL counters with claims of detrimental crude supplies and financial interference."
20160307,NYMEX crude weaker as China trade February trade slumps,"China trade data, WTI crude, oil prices, OPEC production freeze, U.S. crude production","Crude Prices Drop as China Trade Data Disappoints, OPEC Production Freeze in Question",Crude Prices Plunge After Weaker-than-Expected China Trade Data,Analysis of Weak Chinese Trade Data and Its Impact on Global Crude Oil Prices,China trade data disappointment leads to global crude oil price drop amid OPEC production freeze discussions
20160307,Oil hits 2016 high above $40; glut warnings resurface,"crude oil, Brent crude, stockpiles, OPEC, prices",Brent Crude Hits 2016 High as Global Stockpiles Decline and OPEC Targets New Price Floor,Oil Prices Surge to 2016 Peak Amid Hopes for OPEC's $50 Price Floor ,Global Crude Prices Surge to 2016-High Amid Inventory Data and Market Speculation,Brent crude rises to 2016 peak above $40 as producers seek new anchor price to stabilize market
20160307,Oil hits fresh 2-month highs amid bullish sentiment,"oil prices, U.S. shale production, output freeze, market rout, Brent futures",Oil Prices Hit Two-Month Highs as U.S. Shale Production Declines and Output Freeze Hopes Grow,Oil Prices Surge Amid Declining U.S. Shale Output and Potential OPEC Output Freeze,Crude Oil Reaches Highest Levels in Two Months Amid Declining Shale Production and Hopes for Production Freeze,"Oil Prices Extend Gains, Reaching Two-Month Highs on U.S. Shale Production Cuts and Potential Output Freeze"
20160307,"Oil rises as sentiment improves, but glut concerns persist","oil, tightening supply, global outlook, U.S. rigs, market sentiment",Oil Prices Climb as U.S. Rigs Drop Below 400 Amid Tightening Supply,Oil Prices Surge Despite Analyst Warnings of Persistent Glut,Oil Market Sentiment Boosted by Tightening Supply and Global Outlook,"Oil prices rise as U.S. drilling rigs fall below 400, indicating a tightening supply and improving global outlook"
20160307,"Total, Eni bet on new finds as rivals cut costs in oil downturn","investment cuts, exploration programs, oil prices, resource discovery, acquisition strategy",Oil Majors Gamble on Resource Discoveries Amid Market Slump,Oil Exploration Bets: Total and Eni's Investment Cuts Compared,Strategic Exploration and Investment Cuts by Major European Oil Firms,"Oil majors Total and Eni minimize exploration cuts, betting on future rewards with potential new discoveries."
20160307,U.S. natural gas futures rally 4% after testing 1995 lows,"natural gas, futures, warmer weather, storage levels, heating demand","Natural Gas Futures Recover as Warmer Weather Looms, Storage Levels High",Natural Gas Prices Rebound While Warmer Weather Signals Continued Dips,U.S. Natural Gas Futures Rise Amid Forecasts of Persistent Warm Weather,"U.S. natural gas futures rise as short-covering offsets weak heating demand, high storage levels"
20160308,Commodity traders in barter deals with Iran post-sanction: sources,"Iran, sanctions, barter deals, oil exports, gasoline",Barter Deals Boom as Iran Trades Gasoline for Fuel Oil Post-Sanctions,Iran Trades Gasoline for Fuel Oil as Barter Deals Flourish,Iranian Oil Barter Deals: Post-Sanctions Trade Dynamics with Global Traders,"Global oil traders enter barter deals with Iran, trading gasoline for fuel oil post-sanctions"
20160308,"Crude retreats from 2-month highs amid bearish Kuwait, Goldman comments","Kuwait, OPEC, crude futures, Iran, production freeze",Kuwait Blocks Production Freeze Agreement Without Full OPEC Cooperation,Kuwait's Stance on OPEC Freeze Causes Crude Futures to Dip,The Impact of OPEC Member Cooperation on Crude Futures and Global Oil Supply,Kuwait opposes OPEC production freeze without full member agreement; crude futures drop.
20160308,"Gold closes flat, as China exports suffer worst decline since 2009","Gold futures, China exports, trade deficit, ECB meeting, U.S. Dollar Index",Gold futures rise as China data fuels safe-haven demand,Gold futures climb as investors seek safety amid weak China exports,Impact of China's Subdued Export Data on Global Financial Markets,Gold futures rise to near 13-month highs amid weak China data and ECB expectations
20160308,Gold futures near 13-month high on delayed Fed rate hike bets,"Gold, Federal Reserve, interest rates, China slowdown, dollar weakness",Gold Surges as Dollar Weakens and Rate Hikes Delayed,Gold Futures Climb Amid Federal Reserve Rate Uncertainty,Assessment of Gold Futures Rally in the Context of Federal Reserve's Interest Rate Policy and Global Economic Indicators,Gold futures rise on expectations of delayed Fed rate hikes amid global economic concerns
20160308,"Gold looks set to revisit 13-month highs on weaker dollar, equities","Gold, futures, dollar, interest rates, markets",Gold Futures Rise Amid Dollar Weakness and Equity Losses,Gold Futures Rally as Dollar Weakens and Markets Wobble,Analysis of Gold Futures Performance in Response to U.S. Dollar Weakness and Global Market Conditions,"Gold prices firm below last year's high, bolstered by a weak dollar and equity market losses"
20160308,Gold prices edge up in Asia on dovish Fed views,"gold, U.S. interest rates, China, ECB, exports",Gold Prices Edge Higher on Dovish U.S. Rate Outlook Amid Weak Chinese Exports,Gold Prices Climb amid Surging Demand for Safety and Weak Chinese Trade Data,Fluctuations in Gold Prices Linked to U.S. Interest Rate Outlook and Chinese Economic Indicators,Gold prices rise slightly in Asia due to dovish Fed outlook and weak Chinese export data
20160308,NYMEX crude a tad weaker in Asia as API build larger than expected,"crude oil prices, industry stocks build, crude futures, OPEC agreement, Iran production",Crude Oil Prices Dip as Industry Stocks Surge and OPEC Deal Falters,"Crude Oil Prices Dip Amid Industry Stock Build, Diplomatic Standoff",Impact of Crude Oil Price Volatility on Global Markets Amid Industry Stock Surges and OPEC Negotiations,Crude oil prices dip as stocks build and OPEC deal faces Iranian resistance
20160308,NYMEX crude faces pressure in Asian trading day after API build,"crude oil prices, industry stocks, OPEC, Kuwait, U.S. crude stockpiles",Crude Oil Prices Slide as Industry Stocks Surge and OPEC Agreement Falters,Crude Oil Prices Tumble Amid Surging Stocks and OPEC Discord,Crude Oil Prices: Analyzing the Impact of Industry Stock Surges and OPEC Disagreements,Crude oil prices drop in Asia as industry stocks exceed expectations and Kuwait resists OPEC deal
20160308,"NYMEX crude holds gains in Asia, Brent above $40","crude oil, China trade data, OPEC production, U.S. crude, oil prices",China Trade Data Drags Crude Oil Prices Lower Amid OPEC Strategy Speculation,Global Oil Prices Fall as China Trade Data Disappoints,Impact of Chinese New Year on February Trade Data Suggests Potential Rebound,China trade data weakens oil prices despite OPEC production cap speculation
20160308,NYMEX crude rangebound in Asia as API build weighs,"Crude oil, stockpiles, OPEC, Iran, demand",Crude Oil Prices Fluctuate Amid U.S. Stockpile Build and OPEC Tensions,Crude Oil Prices See Volatile Swings After U.S. Stockpile Surge,Impact of U.S. Crude Stockpile Increases on Global Oil Markets,"Crude oil prices in Asia rose slightly after U.S. stockpiles increased more than expected, amid ongoing OPEC tensions."
20160308,Oil edges lower after Kuwait dents hopes for output freeze,"output freeze, oil prices, Goldman Sachs, oversupplied market, crude imports",Kuwait Ties Output Freeze to All Producers as Oil Prices Slide on Goldman Sachs Report,Oil prices decline despite soaring crude imports in China and proposed output freeze,Ongoing Oil Price Volatility: The Impact of Producer Agreements and Market Dynamics,Kuwait insists on collective output freeze; oil prices pressured by Goldman Sachs report
20160308,Oil lower as Kuwait dents hopes for output freeze,"oil prices, output freeze, major producers, commodity prices, supply and demand","Kuwait Asserts Output Freeze Need for All Major Producers, Stirs Oil Prices",Kuwait Conditions Oil Output Freeze on Universal Participation,Analysis of Kuwait’s Stance on Oil Output Freeze and its Market Implications,Oil prices drop as Kuwait demands all major producers join output freeze
20160308,Oil prices retreat from 3-month highs after gloomy China trade data,"oil prices, China trade figures, global economy, OPEC production freeze, U.S. shale output",Oil Prices Dip as China Trade Slump and Waning Risk Appetite Weigh on Market,Oil Prices Slide Amid China Trade Concerns and OPEC Production Talks,Analysis of Oil Price Adjustments in Response to Chinese Economic Data and OPEC Production Strategies,Oil prices drop as China trade data fuel global economic concerns
20160308,Oil turns higher as bullish rally continues,"oil prices, output freeze, Brent futures, U.S. shale, crude stockpiles",Oil Prices Surge as Brent Futures Hit Three-Month High on Output Freeze Talks,Oil Prices Rally to Three-Month High as Producers Eye Output Freeze,Analysis of Crude Oil Price Fluctuations Amid Potential Output Freeze Negotiations,Oil prices rise to three-month highs as output freeze talks boost investor sentiment
20160308,U.S. EIA cuts 2016 world oil demand growth forecast,"oil demand, forecast, growth, U.S. Energy Information Administration, 2016",EIA Lowers 2016 Oil Demand Growth Forecast to 1.15 Million Bpd,Oil Demand Growth Forecast Cut to 1.15 Million Bpd for 2016,Revision of World Oil Demand Growth Projections for 2016 and 2017 by the U.S. EIA,"EIA cuts 2016 oil demand growth forecast to 1.15 million bpd, 2017 to 1.21 million bpd"
