Date,Date Group,Generated Summary,Classification,Positive,Negative,Neutral
2016-01-08,2016-01-14,gold prices fell recent highs stronger dollar mixed us jobs data created uncertainty future fed rate hikes china stabilized stock market volatile week despite decline gold remains nearly 5 % early december lows,negative,0.01,0.99,0.0
2016-01-10,2016-01-14,oil prices closed near lowest levels decade concerns chinas economy persistent global supply glut weighed markets brent us crude falling 10 % week analysts expect oversupply worsen iran prepares boost production us dollar strengthens,negative,0.01,0.99,0.0
2016-01-11,2016-01-14,brent crude oil fell 3 % amid concerns chinas economic slowdown record bearish bets morgan stanley warning prices could drop $ 20 per barrel dollar strengthens oil prices already plunged 70 % since mid2014 due persistent oversupply,negative,0.01,0.99,0.0
2016-01-12,2016-01-14,copper prices fell lowest level since 2009 concerns chinas economic slowdown stock market declines dampened demand gold prices edged higher safehaven buying,negative,0.01,0.99,0.0
2016-01-13,2016-01-14,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-14,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-10,2016-01-15,oil prices closed near lowest levels decade concerns chinas economy persistent global supply glut weighed markets brent us crude falling 10 % week analysts expect oversupply worsen iran prepares boost production us dollar strengthens,negative,0.01,0.99,0.0
2016-01-11,2016-01-15,brent crude oil fell 3 % amid concerns chinas economic slowdown record bearish bets morgan stanley warning prices could drop $ 20 per barrel dollar strengthens oil prices already plunged 70 % since mid2014 due persistent oversupply,negative,0.01,0.99,0.0
2016-01-12,2016-01-15,copper prices fell lowest level since 2009 concerns chinas economic slowdown stock market declines dampened demand gold prices edged higher safehaven buying,negative,0.01,0.99,0.0
2016-01-13,2016-01-15,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-15,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-15,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-10,2016-01-16,oil prices closed near lowest levels decade concerns chinas economy persistent global supply glut weighed markets brent us crude falling 10 % week analysts expect oversupply worsen iran prepares boost production us dollar strengthens,negative,0.01,0.99,0.0
2016-01-11,2016-01-16,brent crude oil fell 3 % amid concerns chinas economic slowdown record bearish bets morgan stanley warning prices could drop $ 20 per barrel dollar strengthens oil prices already plunged 70 % since mid2014 due persistent oversupply,negative,0.01,0.99,0.0
2016-01-12,2016-01-16,copper prices fell lowest level since 2009 concerns chinas economic slowdown stock market declines dampened demand gold prices edged higher safehaven buying,negative,0.01,0.99,0.0
2016-01-13,2016-01-16,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-16,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-16,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-16,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-11,2016-01-17,brent crude oil fell 3 % amid concerns chinas economic slowdown record bearish bets morgan stanley warning prices could drop $ 20 per barrel dollar strengthens oil prices already plunged 70 % since mid2014 due persistent oversupply,negative,0.01,0.99,0.0
2016-01-12,2016-01-17,copper prices fell lowest level since 2009 concerns chinas economic slowdown stock market declines dampened demand gold prices edged higher safehaven buying,negative,0.01,0.99,0.0
2016-01-13,2016-01-17,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-17,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-17,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-17,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-17,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-12,2016-01-18,copper prices fell lowest level since 2009 concerns chinas economic slowdown stock market declines dampened demand gold prices edged higher safehaven buying,negative,0.01,0.99,0.0
2016-01-13,2016-01-18,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-18,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-18,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-18,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-18,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-18,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-13,2016-01-19,gold prices edged higher betterthanexpected chinese trade data investors weighed impact global economic concerns potential us interest rate hikes precious metal us dollar remained strong making gold expensive foreign buyers,positive,0.98,0.02,0.0
2016-01-14,2016-01-19,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-19,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-19,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-19,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-19,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-19,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-14,2016-01-20,brent crude oil prices fell 12year low amid expectations increased iranian supply concerns global economic growth us crude briefly trading premium brent,negative,0.01,0.99,0.0
2016-01-15,2016-01-20,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-20,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-20,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-20,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-20,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-20,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-15,2016-01-21,crude oil prices dropped 5 % 12year lows investors anticipated irans return global markets potential sanction relief exacerbating ongoing supply glut market downturn,negative,0.01,0.99,0.0
2016-01-16,2016-01-21,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-21,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-21,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-21,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-21,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-21,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-16,2016-01-22,iraqs southern oil exports increased 3297 million barrels per day month unaffected recent tribal clashes basra according south oil co officials also noted ongoing security operations company name change basra oil co,negative,0.0,1.0,0.0
2016-01-17,2016-01-22,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-22,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-22,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-22,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-22,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-22,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-17,2016-01-23,gold prices saw largest oneday gain six weeks investors sought safety amid global stock market declines weak us economic data copper prices fell sharply concerns chinas slowdown markets focus upcoming economic reports china us europe week ahead,negative,0.01,0.99,0.0
2016-01-18,2016-01-23,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-23,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-23,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-23,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-23,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-23,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-18,2016-01-24,iran ordered sharp increase oil production following lifting international sanctions prompting rush foreign companies seeking business opportunities despite lingering us restrictions market risks move restores irans access global markets frozen assets challenges remain due ongoing sanctions legal uncertainties reputational concerns,negative,0.0,1.0,0.0
2016-01-19,2016-01-24,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-24,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-24,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-24,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-24,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-24,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-19,2016-01-25,crude oil prices fell asia irans return global markets raised concerns oversupply despite data showing increased demand china investors await key us inventory reports direction,negative,0.01,0.99,0.0
2016-01-20,2016-01-25,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-25,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-25,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-25,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-25,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-25,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-20,2016-01-26,gold prices fell asia weak us inflation data raised doubts imminent federal reserve rate hikes silver copper saw little change analysts wall street leaders remain divided feds next move,negative,0.01,0.99,0.0
2016-01-21,2016-01-26,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-26,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-26,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-26,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-26,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-26,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-26,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-21,2016-01-27,gold futures dipped reaching oneweek high investors awaited key us economic data european central banks policy statement copper prices remained near sevenyear lows amid concerns global growth,negative,0.01,0.99,0.0
2016-01-22,2016-01-27,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-27,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-27,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-27,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-27,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-27,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-01-27,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-22,2016-01-28,crude oil prices jumped 9 % friday marking strongest oneday gain nearly five months traders exited bearish positions following remarks saudi aramcos chief suggesting prices may bottomed rally erased recent losses wti brent benchmarks amid ongoing market volatility speculation future price movements,positive,0.99,0.01,0.0
2016-01-23,2016-01-28,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-28,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-28,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-28,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-28,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-01-28,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-01-28,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-23,2016-01-29,irans oil minister cautioned emergency opec meeting without firm decision address falling oil prices could negatively impact market iran gulf states resist venezuelas call urgent talks iran increases output following lifted sanctions,negative,0.01,0.99,0.0
2016-01-24,2016-01-29,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-29,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-29,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-29,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-01-29,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-01-29,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-29,2016-01-29,gold prices rose slightly even dollar strengthened bank japan introduced negative interest rates first time sending yen lower boosting global market volatility move seen effort combat low inflation could influence future monetary policy decisions central banks,positive,0.9,0.1,0.0
2016-01-24,2016-01-30,crude oil prices rose asia cold weather us boosted demand gains remain limited due persistent global oversupply concerns economic growth especially china additional pressure expected irans return market,positive,0.99,0.01,0.0
2016-01-25,2016-01-30,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-30,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-30,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-01-30,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-01-30,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-29,2016-01-30,gold prices rose slightly even dollar strengthened bank japan introduced negative interest rates first time sending yen lower boosting global market volatility move seen effort combat low inflation could influence future monetary policy decisions central banks,positive,0.9,0.1,0.0
2016-01-25,2016-01-31,us natural gas futures declined 229 % forecasts predicted warmerthanaverage temperatures reducing demand despite recent major snowstorm lowerthanexpected storage withdrawals inventories remain significantly last years levels fiveyear average,negative,0.01,0.99,0.0
2016-01-26,2016-01-31,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-01-31,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-01-31,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-01-31,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-29,2016-01-31,gold prices rose slightly even dollar strengthened bank japan introduced negative interest rates first time sending yen lower boosting global market volatility move seen effort combat low inflation could influence future monetary policy decisions central banks,positive,0.9,0.1,0.0
2016-01-31,2016-01-31,crude oil prices fell sharply disappointing manufacturing services data china raised concerns demand despite recent gains driven speculation potential opec production cuts ongoing global oversupply irans return market continue weigh prices,negative,0.01,0.99,0.0
2016-01-26,2016-02-01,gold prices surged highest level nearly three months investors anticipated federal reserves policy meeting expectations interest rates remain unchanged amid global market volatility silver copper also rallied supported safehaven demand rebound oil prices,positive,0.99,0.01,0.0
2016-01-26,2016-02-01,gold prices edged lower investors focused federal reserves policy meeting ongoing economic instability china led sharp declines chinese equities increased global recession fears fed expected keep rates unchanged gold remains safehaven amid market volatility,negative,0.01,0.99,0.0
2016-01-27,2016-02-01,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-02-01,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-29,2016-02-01,gold prices rose slightly even dollar strengthened bank japan introduced negative interest rates first time sending yen lower boosting global market volatility move seen effort combat low inflation could influence future monetary policy decisions central banks,positive,0.9,0.1,0.0
2016-01-31,2016-02-01,crude oil prices fell sharply disappointing manufacturing services data china raised concerns demand despite recent gains driven speculation potential opec production cuts ongoing global oversupply irans return market continue weigh prices,negative,0.01,0.99,0.0
2016-02-01,2016-02-01,copper prices dropped oneweek low disappointing chinese manufacturing data heightened concerns demand gold remained strong amid expectations federal reserve delay interest rate hikes investors closely watching upcoming us economic data assess outlook metals,negative,0.01,0.99,0.0
2016-01-27,2016-02-02,gold prices edged lower remained near threemonth highs investors awaited federal reserves policy statement market caution fueled global economic concerns recent volatility china fed expected keep rates unchanged future hikes could pressure gold prices,negative,0.01,0.99,0.0
2016-01-28,2016-02-02,gold prices slipped asia federal reserve left interest rates unchanged issued mixed policy statement leaving investors uncertain timing future rate hikes analysts remain divided whether fed raise rates march delay tightening decision hinging labor market inflation data,negative,0.01,0.99,0.0
2016-01-29,2016-02-02,gold prices rose slightly even dollar strengthened bank japan introduced negative interest rates first time sending yen lower boosting global market volatility move seen effort combat low inflation could influence future monetary policy decisions central banks,positive,0.9,0.1,0.0
2016-01-31,2016-02-02,crude oil prices fell sharply disappointing manufacturing services data china raised concerns demand despite recent gains driven speculation potential opec production cuts ongoing global oversupply irans return market continue weigh prices,negative,0.01,0.99,0.0
2016-02-01,2016-02-02,copper prices dropped oneweek low disappointing chinese manufacturing data heightened concerns demand gold remained strong amid expectations federal reserve delay interest rate hikes investors closely watching upcoming us economic data assess outlook metals,negative,0.01,0.99,0.0
2016-02-02,2016-02-02,opec nonopec producers including russia considering secret negotiations cut oil output boost prices recalling similar 1998 deal deep divisions mistrust remain major obstacles despite signs willingness skepticism persists whether workable agreement reached given competing interests past failures,negative,0.01,0.99,0.0
