Date,Generated Headline,Classification,Positive,Negative,Neutral
20160428,german economy minister urges eu take tough stance china steel prices,negative,0.04,0.96,0.0
20160428,gold hits oneweek high dollar slumps bank japan surprise,negative,0.03,0.97,0.0
20160428,gold edges higher investors await key us inflation data fed rate decision,positive,0.97,0.03,0.0
20160428,gold surges near onemonth highs fed maintains dovish stance interest rates,positive,0.98,0.01,0.0
20160428,crude oil prices slip investors take profits await us rig count data,negative,0.01,0.99,0.0
20160428,oil prices hover near fivemonth highs recent gains,positive,0.93,0.05,0.02
20160428,oil prices dip us crude inventories hit record high,negative,0.17,0.83,0.0
20160428,us refiners profits plunge high inventories weak demand hit revenues,positive,0.51,0.49,0.0
20160429,brent crude set biggest monthly gain seven years dollar weakens us output falls,negative,0.14,0.86,0.0
20160429,us oil prices hit fivemonth highs dollar weakens production falls,negative,0.02,0.98,0.0
20160429,oil prices dip opec output nears record high supply glut concerns persist,negative,0.04,0.96,0.0
20160429,gold hits 14month high weaker dollar bank japan decision boost safehaven demand,positive,0.98,0.02,0.0
20160429,gold hits highest level since 2015 global market turmoil drives safehaven demand,positive,0.99,0.01,0.0
20160429,crude oil prices edge higher investors eye us output cuts global supply concerns,negative,0.1,0.9,0.0
20160429,opec oil output nears record high april iran iraq drive increases,negative,0.0,1.0,0.0
20160429,exxon chevron report worst quarterly results decade amid slumping oil prices,negative,0.03,0.97,0.0
20160430,libyan oil tanker returns un blacklisting blocks eastern governments export attempt,positive,0.77,0.23,0.0
20160501,oil prices retreat multimonth highs opec output rises supply glut concerns persist,negative,0.34,0.66,0.0
20160501,gold hits 15month high weaker dollar cautious fed boost precious metals,positive,0.87,0.13,0.0
20160501,gold prices rise investors eye china manufacturing data us economic signals,positive,0.98,0.02,0.0
20160501,iea chief says oil prices may bottomed market rebalances,negative,0.03,0.97,0.0
20160501,oil prices dip asia amid mixed manufacturing data ongoing supply glut,negative,0.01,0.99,0.0
20160502,us oil producers lock higher prices amid crude rally eye increased output,positive,0.91,0.09,0.0
20160502,oil prices retreat 2016 highs opec output rises profit taking weighs market,negative,0.16,0.84,0.0
20160502,ecuador appoints jose icaza new oil minister resignation,negative,0.26,0.73,0.0
20160502,gold surges past $ 1300 dollar hits 9month low weak us manufacturing data,positive,0.98,0.02,0.0
20160502,gold hits 15month high dollar weakens yen surges,positive,0.95,0.05,0.0
20160502,gold edges higher weak china manufacturing data fuels hopes continued easy monetary policy,positive,0.8,0.2,0.0
20160502,oil prices edge higher despite weak china manufacturing data opec output surge,positive,0.98,0.02,0.0
20160502,oil prices slip amid mixed manufacturing data ongoing supply glut,negative,0.01,0.99,0.0
20160502,oil prices drop 2 % opec output nears record highs speculators take profits,negative,0.01,0.99,0.0
20160502,oil prices drop opec output rises raising oversupply concerns,positive,0.64,0.36,0.0
20160502,oil prices dip opec output rises offsetting us decline,negative,0.44,0.56,0.0
20160502,oil prices drop middle east output rises gasoline glut looms,negative,0.34,0.66,0.0
20160502,us energy secretary predicts oil market rebalance within year amid price volatility,negative,0.06,0.94,0.0
20160503,oil prices dip dollar recovers investors await key inventory data,negative,0.01,0.99,0.0
20160503,gold surges $ 1300 dollar hits 15month low amid fed rate uncertainty,positive,0.98,0.02,0.0
20160503,gold slips investors await us jobs data fed rate clues,negative,0.14,0.85,0.01
20160503,gold holds near $ 1300 dollar weakens investors await fed comments,negative,0.01,0.98,0.01
20160503,gold slips dollar rebounds fed officials signal possible rate hikes,positive,0.93,0.07,0.0
20160503,libyas eastern oil firm blocks tanker loading tripolibased rival,negative,0.44,0.55,0.01
20160503,oil prices steady us crude inventories rise refined product stocks fall,negative,0.05,0.95,0.0
20160503,oil prices edge higher asia us output falls refined product demand rises,negative,0.11,0.89,0.0
20160503,oil prices dip us crude inventories rise opec divisions persist,negative,0.09,0.9,0.0
20160503,oil prices slide second day rising output stronger dollar weigh market,negative,0.01,0.99,0.0
20160503,oil prices rebound weaker dollar boosts commodity appeal,positive,0.99,0.01,0.0
20160503,oil prices fall traders await us inventory data opec output rises,negative,0.36,0.64,0.0
20160503,oil prices fall middle east output rises china concerns grow,negative,0.45,0.54,0.0
20160503,opec struggles agree longterm oil strategy amid saudiiran divide,negative,0.06,0.94,0.0
20160504,oil prices mixed us production sees sharpest weekly drop amid inventory surge,negative,0.04,0.96,0.0
20160504,gold prices rise investors await key us jobs report fed rate clarity,positive,0.99,0.01,0.0
20160504,gold retreats 16month high dollar rebounds fed rate hike signals,negative,0.02,0.98,0.0
20160504,gold futures drop despite near 15month highs mixed us data clouds fed rate outlook,negative,0.01,0.99,0.0
20160504,gold prices steady weak us jobs data lowers rate hike expectations,neutral,0.0,0.16,0.84
20160504,libyas eastwest power struggle threatens unity oil exports amid rising tensions,positive,0.94,0.06,0.01
20160504,crude oil prices surge asia us production sees sharpest weekly drop nearly year,positive,0.98,0.01,0.0
20160504,oil prices rise slightly canadian wildfire disrupts production global growth concerns persist,positive,0.99,0.01,0.0
20160504,wildfire canadas oil sands lifts crude prices despite global supply concerns,positive,0.99,0.01,0.0
20160504,us crude oil inventories hit record highs imports refinery activity increase,negative,0.0,0.99,0.0
20160504,us oil executives eye drilling revival crude prices rebound,negative,0.26,0.72,0.02
20160504,us natural gas futures rise ahead storage data traders monitor demand,positive,0.77,0.23,0.0
20160504,oil gas bankruptcies surge crude price collapse wipes trillions value,positive,0.68,0.32,0.0
20160504,us oil prices edge higher despite record inventory build market remains cautious,positive,0.99,0.01,0.0
20160504,wti oil prices edge higher ahead us inventory data release,positive,0.99,0.0,0.0
20160505,oil prices surge canadian wildfire libya conflict disrupt supply,positive,0.99,0.01,0.0
20160505,wildfires canada libyan supply disruptions push oil prices higher,positive,0.97,0.03,0.0
20160505,opec faces deep divisions saudi arabia shifts away price targeting amid structural market changes,negative,0.03,0.97,0.0
20160505,gold prices rise us jobless claims hit fiveweek high investors eye fed speeches,positive,0.98,0.02,0.0
20160505,gold rises ahead key us jobs report investors eye economic signals,positive,0.99,0.01,0.0
20160505,gold futures edge higher investors await key us jobs report,positive,0.99,0.01,0.0
20160505,gold prices rise ahead key fed speeches us jobs data,positive,0.99,0.01,0.0
20160505,libya faces imminent oil output cut port standoff threatens exports,positive,0.99,0.01,0.0
20160505,militants attack chevron oil platform nigerias niger delta sparking fears renewed unrest,positive,0.64,0.36,0.0
20160505,crude oil prices surge asia us production drops sharply,negative,0.25,0.75,0.0
20160505,oil prices dip asia wildfires global supply disruptions persist,negative,0.01,0.99,0.0
20160505,wildfires canada libya supply disruptions push oil prices higher,positive,0.96,0.04,0.0
20160505,oil prices surge 2 % canadian wildfire libyan unrest threaten supply,positive,0.99,0.01,0.0
20160505,oil prices surge canadian wildfire disrupts production libya tensions escalate,negative,0.21,0.79,0.0
20160505,oil giants join forces standardize equipment cut costs amid low prices,negative,0.03,0.97,0.0
20160505,oil prices surge 4 % canadian wildfire disrupts production us output falls,positive,0.94,0.06,0.0
20160505,us natural gas futures slip storage surges beyond expectations,negative,0.04,0.96,0.0
20160506,rapid output cuts americas asia tighten global oil market,negative,0.2,0.8,0.0
20160506,us oil prices dip amid canadian wildfires us output decline,negative,0.01,0.99,0.0
20160506,oil prices edge higher us rig count hits record low dollar weakens,positive,0.91,0.09,0.0
20160506,gold rises weak us jobs data fuels hopes delayed fed rate hikes,positive,0.87,0.13,0.0
20160506,gold prices surge weak us jobs data dims prospect fed rate hike,positive,0.98,0.02,0.0
20160506,gold prices rise ahead key us jobs report,positive,0.99,0.01,0.0
20160506,oil prices rebound weaker dollar canadian wildfires nigerian attacks despite weekly loss,positive,0.96,0.04,0.0
20160507,saudi arabia appoints khalid alfalih new energy minister major cabinet reshuffle,negative,0.02,0.98,0.0
20160508,oil prices edge canadian wildfires disrupt supply weekly losses persist amid global glut,negative,0.02,0.98,0.0
20160508,gold surges weak us jobs data dims hopes early fed rate hike,positive,0.87,0.13,0.0
20160508,gold prices slip asian economic concerns central bank policies weigh markets,negative,0.01,0.99,0.0
20160508,oil prices rise canadian wildfire disruptions saudi minister shakeup,positive,0.99,0.01,0.0
20160508,oil prices rise canadian wildfire disruptions saudi minister shakeup,positive,0.99,0.01,0.0
20160508,saudi arabia reaffirms commitment stable oil policy amid cabinet reshuffle,neutral,0.05,0.06,0.89
20160508,oil price rally may stall market rebalancing experts warn,positive,0.98,0.02,0.0
20160509,chinese commodities plunge steel iron ore futures lead market selloff amid economic concerns,negative,0.16,0.83,0.0
20160509,crude oil prices drop sharply canadian wildfires disrupt production traders reassess impact,negative,0.01,0.99,0.0
20160509,gold prices slide stronger dollar fed rate hike expectations weigh metals,negative,0.03,0.97,0.0
20160509,gold drops us jobs data fed rate hike signals weigh markets,negative,0.02,0.98,0.0
20160509,gold edges higher asia mixed chinese inflation data,positive,0.99,0.01,0.0
20160509,gold prices edge higher asia ahead key china economic data,positive,0.99,0.01,0.0
20160509,oil prices dip canadian wildfires disrupt output investors await us stockpile data,negative,0.02,0.98,0.0
20160509,oil prices mixed canadian wildfires disrupt production investors await us stockpile data,negative,0.05,0.95,0.0
20160509,oil prices drop 3 % despite canadian wildfires us inventory build,negative,0.01,0.99,0.0
20160509,wildfire canada cuts oil output sending prices higher,positive,0.99,0.01,0.0
20160509,canadian wildfires disrupt oil supply markets react saudi minister change,positive,0.93,0.07,0.0
20160509,oil prices rise canadian wildfires disrupt supply saudi arabia appoints new oil minister,positive,0.97,0.02,0.0
20160509,us natural gas futures dip mild weather forecasts weigh demand,negative,0.02,0.98,0.0
20160510,oil prices rebound canadian wildfires disrupt supply saudi arabia ramps production,negative,0.18,0.81,0.0
20160510,russian oil chief says opecs influence faded amid internal divisions,negative,0.13,0.86,0.01
20160510,gold prices edge higher asia investors weigh mixed us jobs data china inflation,positive,0.94,0.06,0.0
20160510,gold prices steady recent drop strong dollar weighs metals,neutral,0.01,0.32,0.67
20160510,gold prices steady sharp drop investors weigh china inflation us job data,negative,0.01,0.97,0.02
20160510,gold futures hover near twoweek lows strong dollar weighs prices,negative,0.02,0.98,0.0
20160510,iran offers deepest crude oil discounts asia since 2007 regain market share,negative,0.19,0.81,0.0
20160510,oil prices steady us stockpiles rise canadian wildfires disrupt supply,negative,0.23,0.6,0.17
20160510,crude prices dip asia us stockpiles surge canadian wildfires disrupt supply,negative,0.01,0.99,0.0
20160510,oil prices climb canadian supply disruptions offset inventory concerns,positive,0.93,0.07,0.0
20160510,oil prices rise investors await us inventory data amid ongoing supply glut,positive,0.98,0.01,0.0
20160510,oil prices steady sharp drop traders await us inventory data,negative,0.0,0.99,0.01
20160510,oil prices edge higher amid global supply disruptions surplus concerns persist,positive,0.99,0.01,0.0
20160510,saudi aramco pursues global expansion industrial diversification ahead partial privatization,negative,0.05,0.94,0.0
20160510,saudi aramco eyes global expansion new joint ventures key markets,negative,0.13,0.87,0.0
20160510,us natural gas futures climb cooler weather boosts demand outlook,positive,0.97,0.03,0.0
20160511,oil prices surge us crude inventories unexpectedly drop approaching 2016 highs,negative,0.03,0.97,0.0
20160511,gold prices rebound dollar weakens investors eye fed rate path,negative,0.08,0.92,0.0
20160511,gold prices rise investors eye g7 meeting brexit referendum,positive,0.99,0.01,0.0
20160511,gold rebounds dollar retreats investors eye brexit vote central bank moves,negative,0.05,0.95,0.0
20160511,oil prices dip asia investors take profits us inventory drop,negative,0.01,0.99,0.0
20160511,iea faces potential split oecd amid disputes china cooperation,negative,0.09,0.91,0.0
20160511,oil prices waver canadian output recovers us inventories hit record highs,positive,0.78,0.22,0.0
20160511,oil prices slip us inventory concerns offset supply disruptions,negative,0.01,0.99,0.0
20160511,us crude inventories drop unexpectedly imports refining rates fall,positive,0.64,0.35,0.0
20160511,us oil prices rise inventories unexpectedly drop canadian output recovers,positive,0.76,0.24,0.0
20160511,oil prices dip us inventories rise canadian output recovers,positive,0.53,0.47,0.0
20160512,us oil prices near sixmonth highs inventories drop canadian output recovers,negative,0.47,0.53,0.0
20160512,global gold demand surges record high early 2016 etf inflows,positive,0.99,0.01,0.0
20160512,gold slips investors await key us economic data fed rate signals,negative,0.14,0.72,0.14
20160512,gold slips dollar strengthens ahead key us economic data releases,positive,0.92,0.08,0.01
20160512,gold prices dip dollar strengthens ahead us jobless claims data,negative,0.01,0.98,0.0
20160512,kuwait sees opec action expected upcoming vienna meeting focus dialogue,neutral,0.04,0.1,0.86
20160512,natural gas futures edge higher storage rises less expected cooler weather boosts demand,positive,0.99,0.01,0.0
20160512,china pursues gradual reforms state energy sector boost efficiency,negative,0.24,0.76,0.0
20160512,oil prices dip investors weigh rising demand high stockpiles ample supply,negative,0.03,0.97,0.0
20160512,oil prices dip asia investors take profits us inventory drop,negative,0.01,0.99,0.0
20160512,oil prices weaken investors await us rig count assess global supply trends,negative,0.01,0.99,0.0
20160512,us oil prices retreat hitting sixmonth highs amid storage build concerns,negative,0.01,0.99,0.0
20160512,iea sees oil glut easing output disruptions rising demand support market,negative,0.09,0.91,0.0
20160512,oil prices fluctuate cushing inventory rises global demand strengthens,positive,0.98,0.02,0.0
20160513,oil prices retreat opec output rises supply concerns persist,negative,0.49,0.51,0.0
20160513,oil prices fall supply glut fears stronger dollar weigh market,negative,0.01,0.99,0.0
20160513,iraqs oil output expansion threatened disputes spending cuts foreign firms,negative,0.0,1.0,0.0
20160513,gold holds steady strong dollar improved consumer sentiment weigh prices,negative,0.37,0.57,0.07
20160513,gold prices edge higher investors await key us economic data,positive,0.99,0.01,0.0
20160513,oil prices dip strong dollar russian warning weigh market,negative,0.01,0.99,0.0
20160513,oil prices dip strong dollar profittaking offset nigerian supply outages,negative,0.14,0.86,0.0
20160513,opec warns growing oil glut output hits highest level since 2008,negative,0.01,0.99,0.0
20160513,shell works contain major oil spill gulf mexico investigations continue,positive,1.0,0.0,0.0
20160515,chinas demand platinum jewelry drops sharply shoppers shift luxuries,negative,0.01,0.99,0.0
20160515,oil prices retreat sixmonth highs opec output rises supply glut concerns return,negative,0.15,0.85,0.0
20160515,gold prices edge higher strong us data fuels rate hike expectations,positive,0.99,0.01,0.0
20160515,gold rises investors await fed rate hike signals react weak japanese data,positive,0.97,0.02,0.0
20160515,north american platinum jewelry demand surges lower prices boost jewelers margins,positive,0.99,0.01,0.0
20160515,oil prices edge higher traders eye us stockpiles opec output,positive,0.98,0.02,0.0
20160515,oil prices rise supply disruptions nigeria venezuela amid opec output surge,positive,0.98,0.02,0.0
20160516,crude oil hits sixmonth highs supply disruptions bullish goldman sachs outlook lift prices,positive,0.95,0.05,0.0
20160516,gold prices rise oneweek high weak chinese data fuels economic concerns,positive,0.99,0.01,0.0
20160516,gold prices rise weak us manufacturing data fuels rate hike uncertainty,positive,0.98,0.01,0.0
20160516,gold rises oneweek high investors await us inflation data amid global economic concerns,positive,0.98,0.02,0.0
20160516,gold rises investors await us inflation data fed rate signals,positive,0.98,0.02,0.0
20160516,nigeria faces looming fuel crisis tankers wait offshore amid dollar shortage,negative,0.37,0.62,0.0
20160516,crude oil prices climb nigerian disruptions venezuelan turmoil,positive,0.99,0.01,0.0
20160516,crude oil prices climb supply disruptions nigeria venezuela goldman sachs ups forecast,positive,0.97,0.03,0.0
20160516,oil prices surge goldman sachs signals end global oversupply,positive,0.99,0.01,0.0
20160516,oil prices surge market moves deficit amid nigerian supply disruptions,positive,0.97,0.03,0.0
20160516,oil prices surge sixmonth high amid supply disruptions goldman sachs outlook shift,positive,0.99,0.01,0.0
20160516,oil prices surge sixmonth highs goldman sachs cites market deficit supply disruptions,positive,0.99,0.01,0.0
20160516,us natural gas prices drop fourweek lows amid mild weather forecasts,negative,0.01,0.99,0.0
20160516,venezuela secures improved oilforloans deal china ease economic crisis,negative,0.1,0.9,0.0
20160517,crude oil prices near sixmonth highs amid supply disruptions inventory reports,positive,0.99,0.01,0.0
20160517,bp exploration chief richard herbert departs amid spending cuts restructuring,negative,0.32,0.68,0.0
20160517,gold prices edge higher investors await key us inflation data,positive,0.99,0.01,0.0
20160517,gold holds gains investors await fed minutes inflation data shows modest rise,positive,0.86,0.12,0.02
20160517,gold holds near oneweek highs tepid us inflation data delays fed rate hike expectations,positive,0.94,0.05,0.0
20160517,crude oil prices edge higher amid falling inventories global supply disruptions,positive,0.91,0.09,0.0
20160517,oil prices edge higher us inventories fall global supply disruptions persist,positive,0.75,0.25,0.0
20160517,oil prices hit sevenmonth high supply disruptions spur bullish outlook,positive,0.54,0.46,0.0
20160517,oil prices hit sevenmonth highs amid global supply disruptions,positive,0.98,0.02,0.0
20160517,oil prices pause hitting 2016 highs amid global supply disruptions,negative,0.01,0.99,0.0
20160517,oil prices near 2016 highs amid global supply disruptions bullish forecasts,positive,0.97,0.03,0.0
20160518,crude oil prices reverse gains fed signals possible june rate hike,negative,0.05,0.95,0.0
20160518,gold slips ahead fed minutes investors await clues rate hikes,negative,0.06,0.93,0.01
20160518,gold prices dip investors await fed meeting minutes rate hike clues,negative,0.02,0.98,0.0
20160518,stronger dollar rising us crude inventories weigh oil prices,positive,0.5,0.49,0.0
20160518,crude oil prices slide fed rate hike prospects strengthen dollar,negative,0.01,0.99,0.0
20160518,brent crude prices dip rising global supply offsets disruptions nigeria canada,negative,0.1,0.9,0.0
20160518,oil prices near 2016 highs supply concerns persist,positive,0.85,0.14,0.0
20160518,oil prices hover near sevenmonth highs us inventories expected fall,negative,0.01,0.99,0.0
20160518,us crude oil inventories rise unexpectedly gasoline distillate stocks drop,negative,0.2,0.8,0.0
20160518,us oil prices edge higher despite surprise inventory build remain near multimonth highs,positive,0.99,0.01,0.0
20160519,oil prices hold near sixmonth highs dollar surges fed signals rate hike,positive,0.52,0.32,0.16
20160519,gold drops threeweek low fed signals possible june rate hike,negative,0.02,0.98,0.0
20160519,gold prices sink threeweek low fed rate hike prospects strengthen,negative,0.01,0.99,0.0
20160519,gold rebounds asia fed rate hike signals trigger sharp drop,positive,0.84,0.15,0.0
20160519,oil prices edge higher asia markets await us rig count data,positive,0.99,0.01,0.0
20160519,oil prices rebound asia market eyes us rig data fed rate hike signals,positive,0.98,0.01,0.0
20160519,oil prices drop 2 % strong dollar fed rate hike fears weigh market,negative,0.01,0.99,0.0
20160519,oil prices drop rate hike fears rising us inventories weigh market,negative,0.01,0.99,0.0
20160519,oil prices slide strong dollar rising us inventories spark selloff,negative,0.05,0.95,0.0
20160519,oil prices slide stronger dollar rising us inventories weigh market,negative,0.02,0.98,0.0
20160519,gold drops threeweek low fed minutes signal possible june rate hike,negative,0.01,0.99,0.0
20160519,us natural gas futures hover near fourweek lows storage rises line expectations,negative,0.03,0.97,0.0
20160519,oil prices surge nearly 80 % three months nearing $ 50 mark amid global supply disruptions,positive,0.99,0.0,0.0
20160520,rain cooler weather aid firefighters alberta wildfire slows oil operations begin recovery,positive,0.83,0.17,0.0
20160520,us oil prices hover near sevenmonth highs amid global supply disruptions,negative,0.34,0.65,0.01
20160520,gold prices steady near threeweek low fed rate hike prospects strengthen,neutral,0.0,0.0,1.0
20160520,gold slips threeweek low strong dollar fed rate hike signals weigh prices,negative,0.02,0.98,0.01
20160520,oil prices edge higher supply disruptions offset inventory gains,positive,0.55,0.45,0.0
20160520,oil prices edge higher amid global supply disruptions high inventories,positive,0.99,0.01,0.0
20160520,oil prices retreat sevenmonth highs supply disruptions ease opec freeze doubts persist,negative,0.01,0.99,0.0
20160521,former militants urge end niger delta attacks support buharis peace efforts,positive,0.97,0.02,0.0
20160522,oil futures end lower log second weekly gain amid global supply concerns,negative,0.08,0.92,0.0
20160522,gold prices slip threeweek low fed rate hike prospects weigh markets,negative,0.01,0.99,0.0
20160522,gold prices rebound asia investors eye fed rate hike signals,positive,0.99,0.01,0.0
20160522,gold prices slip fed rate hike speculation weighs markets,negative,0.01,0.99,0.0
20160522,indian refiners make first oil payment iran since sanctions lifted ahead modi visit,positive,0.86,0.14,0.0
20160522,iran rules oil output freeze exports climb toward presanctions levels,negative,0.0,0.99,0.0
20160522,crude oil pipeline operated eni attacked dynamite nigerias bayelsa state,positive,0.99,0.01,0.0
20160522,oil prices edge lower amid oversupply concerns uncertain global demand,negative,0.01,0.99,0.0
20160522,oil prices remain weak amid oversupply despite recent gains,negative,0.01,0.99,0.0
20160523,oil prices retreat iran maintains export plans oversupply concerns resurface,negative,0.03,0.96,0.0
20160523,cme group seeks global expansion metal warehousing challenge lme,positive,0.8,0.2,0.0
20160523,french oil workers strike exxonmobil port jerome refinery labor reforms,positive,0.99,0.01,0.0
20160523,gold hits 3week low fed officials signal gradual rate hikes,negative,0.38,0.61,0.0
20160523,gold slips fed officials signal potential rate hikes amid economic growth,positive,0.97,0.03,0.0
20160523,gold futures slide fourweek low fed rate hike expectations rise,negative,0.01,0.99,0.0
20160523,gold futures hover near threeweek lows fed rate hike expectations rise,negative,0.13,0.87,0.0
20160523,oil prices steady market awaits us stockpile data iran maintains export plans,neutral,0.01,0.07,0.92
20160523,oil prices dip iran maintains export plans market awaits us stockpile data,negative,0.02,0.98,0.0
20160523,brent crude drops 2 % iran boosts exports us rig decline slows,negative,0.07,0.93,0.0
20160523,oil prices dip global supply outweighs disruptions,negative,0.03,0.97,0.0
20160523,oil prices slide global supply concerns resurface amid easing disruptions,negative,0.01,0.99,0.0
20160523,oil prices slip supply concerns ease libyan exports resuming alberta fires receding,negative,0.02,0.98,0.0
20160523,us natural gas futures climb warmer weather forecasts boost cooling demand,positive,0.95,0.05,0.0
20160524,exxon chevron face unprecedented shareholder pressure climate change annual meetings,positive,0.97,0.03,0.0
20160524,wti crude surges past brent global supply slowdowns lift oil prices 6month highs,positive,0.91,0.09,0.0
20160524,debtladen opec members struggle oilbacked loans drain revenues amid price slump,negative,0.04,0.96,0.0
20160524,french riot police clash striking oil workers labour reform protests escalate,positive,0.97,0.03,0.0
20160524,gold drops onemonth low strong us home sales boost dollar brexit sentiment shifts,positive,0.8,0.2,0.01
20160524,gold prices slip fed rate hike expectations rise strong us home sales boost dollar,negative,0.04,0.96,0.0
20160524,gold futures near fourweek lows fed rate hike expectations grow,negative,0.08,0.92,0.0
20160524,crude oil prices surge us stockpiles drop global output slows,negative,0.22,0.78,0.0
20160524,crude oil prices hold gains us stockpiles drop global supply concerns persist,negative,0.05,0.95,0.0
20160524,oil prices slip investors await us inventory data fed rate hike signals,negative,0.01,0.99,0.0
20160524,oil prices fall canadian libyan supply disruptions ease,negative,0.01,0.99,0.0
20160524,oil prices rebound investors await us inventory data opec developments,positive,0.98,0.02,0.0
20160524,oil prices edge higher ahead us inventory data market eyes supply trends,positive,0.99,0.01,0.0
20160524,gold futures hit onemonth low dollar strengthens fed rate hike speculation grows,negative,0.03,0.97,0.0
20160524,us diesel margins surge exports rise inventories drop amid strong global demand,negative,0.16,0.84,0.0
20160525,china raise gasoline diesel prices third time since january,positive,0.99,0.01,0.0
20160525,crude oil nears $ 50 us production declines offset gasoline inventory surge,positive,0.53,0.47,0.0
20160525,chinas independent oil refineries fuel economic boom rural shandong,negative,0.47,0.53,0.0
20160525,gold hits 7week low fed rate hike bets weigh prices,negative,0.16,0.84,0.0
20160525,gold prices slip markets await fed chair yellens comments us gdp data,negative,0.01,0.98,0.0
20160525,gold hits sevenweek low fed rate hike expectations rise,positive,0.93,0.07,0.0
20160525,gold hits sevenweek low fed rate hike odds rise,positive,0.98,0.02,0.0
20160525,opec faces stalemate iran nears presanctions oil output tensions saudi arabia persist,positive,0.92,0.06,0.01
20160525,crude oil prices edge higher investors await key opec meeting,positive,0.99,0.01,0.0
20160525,brent crude tops $ 50 investors eye opec meeting us output declines,positive,0.57,0.43,0.0
20160525,oil prices rebound us crude inventories drop sharply,negative,0.02,0.98,0.0
20160525,oil prices rise largerthanexpected us crude draw stay $ 50 amid profittaking,positive,0.99,0.01,0.0
20160525,oil prices hit sevenmonth high hopes larger us inventory drawdown,positive,0.71,0.29,0.0
20160525,trump urged criticize opec ease regulations upcoming energy speech,negative,0.17,0.82,0.01
20160525,us natural gas futures hover near onemonth low traders await inventory data,negative,0.04,0.96,0.01
20160525,us oil prices hit sevenmonth high crude inventories drop expected,negative,0.01,0.99,0.0
20160526,brent crude holds $ 50 us oil stockpiles drop sharply,positive,0.91,0.09,0.0
20160526,saudi arabias new energy minister signals shift away opecs traditional role,negative,0.38,0.61,0.01
20160526,french labor reform protests turn violent unions threaten disrupt euro 2016,positive,0.56,0.44,0.0
20160526,crude oil briefly tops $ 50 nigerian supply disruptions rising asian demand retreating,positive,0.95,0.05,0.0
20160526,gold ends flat investors await fed signals amid strong us economic data,neutral,0.41,0.15,0.44
20160526,gold prices edge higher asia investors await fed chair yellens rate guidance,positive,0.99,0.01,0.0
20160526,gold futures rebound investors weigh fed rate hike prospects,positive,0.97,0.03,0.0
20160526,gold prices dip japan cpi beats expectations investors await yellens fed rate signals,negative,0.01,0.99,0.0
20160526,gold futures rebound dollar weakens ahead fed chair yellens speech,negative,0.02,0.98,0.0
20160526,oil prices slip ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
20160526,brent oil surges $ 50 first time seven months amid global supply disruptions,positive,0.99,0.01,0.0
20160526,oil prices surge $ 50 global supply disruptions offset glut concerns,positive,0.99,0.01,0.0
20160526,aramco expands market share efficiency prepares landmark ipo vision 2030,negative,0.33,0.67,0.0
20160526,trump unveils america first energy plan vows approve keystone pipeline boost us energy independence,negative,0.13,0.86,0.0
20160526,us natural gas prices fall storage surges beyond expectations,negative,0.01,0.99,0.0
20160526,oil prices surge $ 50 us stockpiles drop global supply disruptions persist,positive,0.98,0.02,0.0
20160527,oil prices dip $ 50 supply concerns linger ahead summer driving season,negative,0.01,0.99,0.0
20160527,oil prices retreat hitting multimonth highs amid profittaking supply disruptions,negative,0.01,0.99,0.0
20160527,gold slips threemonth low stronger dollar fed rate hike expectations weigh,negative,0.02,0.98,0.0
20160527,gold prices hold near threemonth lows strong dollar fed rate hike speculation weigh,negative,0.03,0.97,0.0
20160527,managers reopen le havre oil terminal amid ongoing french labor strikes,positive,0.6,0.4,0.0
20160527,oil prices slip ahead opec meeting us holiday supply concerns persist,negative,0.01,0.99,0.0
20160527,oil prices fall $ 49 oversupply fears resurface,negative,0.01,0.99,0.0
20160527,oil rally faces technical hurdles surging nearly 90 % lows,positive,0.97,0.03,0.0
20160527,oil prices dip traders anticipate increased production stronger dollar,negative,0.05,0.95,0.0
20160527,americans set new record miles driven low gas prices fuel travel surge,negative,0.37,0.63,0.0
20160529,oil prices dip mark third straight weekly gain amid global supply disruptions,negative,0.01,0.99,0.0
20160529,gold hits threemonth low fed rate hike signals boost dollar,positive,0.93,0.06,0.01
20160529,gold prices slide investors eye fed rate hike key economic data,negative,0.04,0.96,0.0
20160529,gold holds steady markets await fed rate decision key economic data,neutral,0.01,0.0,0.99
20160529,crude oil prices edge higher markets await opec meeting monitor global supply disruptions,positive,0.98,0.02,0.0
20160529,oil prices steady markets await opec meeting monitor global supply disruptions,neutral,0.0,0.02,0.98
20160530,gold drops $ 1200 fed rate hike expectations strengthen,negative,0.01,0.99,0.0
20160530,gold prices slide fed rate hike prospects weigh markets,negative,0.01,0.99,0.0
20160530,gold futures rebound brief dip $ 1200 fed rate hike expectations rise,positive,0.98,0.02,0.0
20160530,iraq boost oil exports 5 million barrels june opec members raise output,negative,0.0,1.0,0.0
20160530,iraq plans boost oil exports 5 million barrels ahead opec meeting,negative,0.0,0.99,0.0
20160530,oil prices edge higher investors weigh supply disruptions upcoming opec meeting,positive,0.99,0.01,0.0
20160530,oil prices edge higher ahead opec meeting amid market uncertainty,positive,0.99,0.01,0.0
20160530,oil prices dip stronger dollar spurs profittaking recent rally,negative,0.15,0.85,0.0
20160530,oil prices dip stronger dollar canadian output weigh market,negative,0.03,0.97,0.0
20160530,oil prices edge lower global supply outlook improves holiday trading slows,negative,0.01,0.99,0.0
20160530,us natural gas futures slip amid mild weather forecasts high storage levels,negative,0.02,0.98,0.0
