Date,Date Group,Generated Headline,Classification,Positive,Negative,Neutral
2015-06-02,2015-06-06,copper prices rebound china stimulus hopes grow amid economic concerns,positive,0.99,0.01,0.0
2015-06-03,2015-06-06,gold prices slide strong us data fuels rate hike expectations,negative,0.01,0.99,0.0
2015-06-04,2015-06-06,oil prices slide ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
2015-06-05,2015-06-06,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-06,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-01,2015-06-07,oil prices dip last weeks surge investors take profits us rig count falls,negative,0.01,0.99,0.0
2015-06-02,2015-06-07,copper prices rebound china stimulus hopes grow amid economic concerns,positive,0.99,0.01,0.0
2015-06-03,2015-06-07,gold prices slide strong us data fuels rate hike expectations,negative,0.01,0.99,0.0
2015-06-04,2015-06-07,oil prices slide ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
2015-06-05,2015-06-07,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-07,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-07,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-02,2015-06-08,copper prices rebound china stimulus hopes grow amid economic concerns,positive,0.99,0.01,0.0
2015-06-03,2015-06-08,gold prices slide strong us data fuels rate hike expectations,negative,0.01,0.99,0.0
2015-06-04,2015-06-08,oil prices slide ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
2015-06-05,2015-06-08,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-08,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-08,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-08,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-03,2015-06-09,gold prices slide strong us data fuels rate hike expectations,negative,0.01,0.99,0.0
2015-06-04,2015-06-09,oil prices slide ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
2015-06-05,2015-06-09,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-09,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-09,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-09,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-09,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-04,2015-06-10,oil prices slide ahead opec meeting supply concerns persist,negative,0.01,0.99,0.0
2015-06-05,2015-06-10,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-10,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-10,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-10,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-10,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-10,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-05,2015-06-11,gold prices fall strong us jobs data raises fed rate hike expectations,negative,0.01,0.99,0.0
2015-06-06,2015-06-11,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-11,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-11,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-11,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-11,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-11,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-06,2015-06-12,chevrons big foot oil project delayed tendons sink gulf mexico,positive,0.99,0.01,0.0
2015-06-07,2015-06-12,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-12,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-12,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-12,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-12,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-12,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-07,2015-06-13,natural gas prices drop fiveweek low amid mild weather ample supplies,negative,0.01,0.99,0.0
2015-06-08,2015-06-13,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-13,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-13,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-13,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-13,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-08,2015-06-14,gold prices rise asia weak chinese inflation signals continued policy support,positive,0.99,0.01,0.0
2015-06-09,2015-06-14,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-14,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-14,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-14,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-14,2015-06-14,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-09,2015-06-15,gold prices edge higher amid fed rate hike speculation greek debt talks,positive,0.99,0.01,0.0
2015-06-10,2015-06-15,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-15,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-15,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-14,2015-06-15,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-15,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-10,2015-06-16,copper prices climb twoweek high ahead key chinese economic data,positive,0.99,0.01,0.0
2015-06-11,2015-06-16,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-16,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-14,2015-06-16,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-16,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-16,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-11,2015-06-17,saudi arabia signals readiness boost oil output record levels amid rising global demand,negative,0.0,1.0,0.0
2015-06-12,2015-06-17,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-14,2015-06-17,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-17,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-17,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-17,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-17,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-12,2015-06-18,crude oil prices fall strong dollar rising opec output weigh market,negative,0.01,0.99,0.0
2015-06-14,2015-06-18,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-18,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-18,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-18,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-18,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-18,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-14,2015-06-19,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-19,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-19,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-19,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-19,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-19,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-19,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-14,2015-06-20,oil prices drop oversupply fears end week higher dollar weakens,negative,0.01,0.99,0.0
2015-06-15,2015-06-20,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-20,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-20,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-20,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-20,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-20,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-15,2015-06-21,copper prices slide threemonth low amid greek debt crisis failed bailout talks,negative,0.01,0.99,0.0
2015-06-16,2015-06-21,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-21,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-21,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-21,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-21,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-21,2015-06-21,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-16,2015-06-22,copper prices near threemonth low investors await fed decision monitor greek debt talks,negative,0.01,0.99,0.0
2015-06-17,2015-06-22,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-22,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-22,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-22,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-21,2015-06-22,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-22,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-17,2015-06-23,copper prices hit threemonth low amid fed meeting greek debt concerns,negative,0.01,0.99,0.0
2015-06-17,2015-06-23,natural gas prices reach fourweek high ahead us inventory report,positive,0.99,0.01,0.0
2015-06-18,2015-06-23,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-23,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-21,2015-06-23,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-23,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-23,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-18,2015-06-24,crude oil prices rise weaker dollar fed outlook boost commodity appeal,positive,0.99,0.01,0.0
2015-06-19,2015-06-24,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-21,2015-06-24,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-24,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-24,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-24,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-19,2015-06-25,oil prices slide wti falls $ 60 amid lower us rig count saudi signals,negative,0.01,0.99,0.0
2015-06-21,2015-06-25,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-25,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-25,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-25,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-25,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-21,2015-06-26,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-26,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-26,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-26,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-26,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-06-26,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-21,2015-06-27,oil prices slide dollar strengthens greek debt crisis deepens,negative,0.01,0.99,0.0
2015-06-22,2015-06-27,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-27,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-27,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-27,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-06-27,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-22,2015-06-28,crude oil prices edge higher amid greek debt optimism hedge fund activity,positive,0.99,0.0,0.0
2015-06-23,2015-06-28,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-28,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-28,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-06-28,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-28,2015-06-28,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-23,2015-06-29,copper prices surge strong euro zone manufacturing data greek debt talks,positive,0.99,0.01,0.0
2015-06-24,2015-06-29,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-29,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-06-29,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-28,2015-06-29,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-06-29,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-24,2015-06-30,crude oil prices fall iranian nuclear talks progress us inventories decline,negative,0.01,0.99,0.0
2015-06-25,2015-06-30,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-06-30,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-28,2015-06-30,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-06-30,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-06-30,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-06-25,2015-07-01,oil prices fluctuate greece debt talks stall us inventories shift,negative,0.01,0.99,0.0
2015-06-26,2015-07-01,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-28,2015-07-01,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-07-01,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-07-01,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-01,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-06-26,2015-07-02,gold prices slip strong us data lifts dollar greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-06-28,2015-07-02,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-07-02,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-07-02,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-02,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-02,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-06-28,2015-07-03,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-07-03,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-07-03,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-03,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-03,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-03,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-03,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-06-28,2015-07-04,us wheat futures surge nearly 6 % midwest rain threatens crop yields,positive,0.97,0.03,0.0
2015-06-29,2015-07-04,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-07-04,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-04,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-04,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-04,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-04,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-06-29,2015-07-05,copper prices dip greek debt crisis deepens china cuts interest rates,negative,0.01,0.99,0.0
2015-06-30,2015-07-05,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-05,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-05,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-05,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-05,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-07-05,2015-07-05,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-06-30,2015-07-06,copper prices fall greek debt crisis weighs markets,negative,0.01,0.99,0.0
2015-07-01,2015-07-06,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-06,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-06,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-06,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-07-05,2015-07-06,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-06,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-01,2015-07-07,wti crude prices plunge nearly 45 % surprise us inventory build,negative,0.01,0.99,0.0
2015-07-02,2015-07-07,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-07,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-07,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-07-05,2015-07-07,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-07,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-07,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-02,2015-07-08,gold hits threemonth low despite weaker dollar soft us jobs report,negative,0.01,0.99,0.0
2015-07-03,2015-07-08,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-08,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-07-05,2015-07-08,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-08,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-08,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-08,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-08,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-03,2015-07-09,gold prices rise weak us data weighs dollar greek debt crisis looms,positive,0.98,0.02,0.0
2015-07-03,2015-07-09,crude oil prices hit twomonth lows amid rising us stockpiles greek debt uncertainty,negative,0.02,0.98,0.0
2015-07-05,2015-07-09,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-09,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-09,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-09,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-09,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-09,2015-07-09,crude oil prices rebound 2 % hopes iranian nuclear deal fade chinese markets rally,positive,0.99,0.01,0.0
2015-07-05,2015-07-10,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-10,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-10,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-10,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-10,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-09,2015-07-10,crude oil prices rebound 2 % hopes iranian nuclear deal fade chinese markets rally,positive,0.99,0.01,0.0
2015-07-10,2015-07-10,gold slips despite weaker dollar fed signals rate hike greece seeks bailout deal,negative,0.02,0.98,0.0
2015-07-10,2015-07-10,oil prices rise chinese market rebounds greece nears bailout deal,positive,0.99,0.01,0.0
2015-07-05,2015-07-11,oil prices slide rising us rig count supply glut fears,negative,0.01,0.99,0.0
2015-07-06,2015-07-11,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-11,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-11,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-11,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-09,2015-07-11,crude oil prices rebound 2 % hopes iranian nuclear deal fade chinese markets rally,positive,0.99,0.01,0.0
2015-07-10,2015-07-11,gold slips despite weaker dollar fed signals rate hike greece seeks bailout deal,negative,0.02,0.98,0.0
2015-07-10,2015-07-11,oil prices rise chinese market rebounds greece nears bailout deal,positive,0.99,0.01,0.0
2015-07-06,2015-07-12,crude oil prices sink threemonth lows amid greek iranian uncertainty china concerns,negative,0.01,0.99,0.0
2015-07-07,2015-07-12,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-12,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-12,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-09,2015-07-12,crude oil prices rebound 2 % hopes iranian nuclear deal fade chinese markets rally,positive,0.99,0.01,0.0
2015-07-10,2015-07-12,gold slips despite weaker dollar fed signals rate hike greece seeks bailout deal,negative,0.02,0.98,0.0
2015-07-10,2015-07-12,oil prices rise chinese market rebounds greece nears bailout deal,positive,0.99,0.01,0.0
2015-07-12,2015-07-12,copper prices fall chinas mixed trade data greek debt talks weigh markets,negative,0.01,0.99,0.0
2015-07-12,2015-07-12,gold prices rise greece awaits bailout decision china markets stir concerns,positive,0.99,0.01,0.0
2015-07-07,2015-07-13,copper prices slide greek debt crisis china market turmoil weigh demand,negative,0.01,0.99,0.0
2015-07-08,2015-07-13,oil prices plunge longterm futures signal deeper market shift,negative,0.01,0.99,0.0
2015-07-08,2015-07-13,gold prices surge global uncertainty grows ahead fed meeting,positive,0.99,0.01,0.0
2015-07-09,2015-07-13,crude oil prices rebound 2 % hopes iranian nuclear deal fade chinese markets rally,positive,0.99,0.01,0.0
2015-07-10,2015-07-13,gold slips despite weaker dollar fed signals rate hike greece seeks bailout deal,negative,0.02,0.98,0.0
2015-07-10,2015-07-13,oil prices rise chinese market rebounds greece nears bailout deal,positive,0.99,0.01,0.0
