Date,Date Group,Keywords,Classification,Positive,Negative,Neutral
2015-06-30,2015-07-05,gold prices greece default imf euro us dollar,negative,0.01,0.99,0.0
2015-07-01,2015-07-05,crude oil inventory wti eia prices,negative,0.02,0.98,0.01
2015-07-02,2015-07-05,oil prices crude inventories us production supply glut brent crude,negative,0.02,0.98,0.0
2015-07-03,2015-07-05,crude oil us stockpiles greece debt oil prices global supply,negative,0.03,0.97,0.0
2015-07-05,2015-07-05,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-06-30,2015-07-06,gold prices greece default imf euro us dollar,negative,0.01,0.99,0.0
2015-07-01,2015-07-06,crude oil inventory wti eia prices,negative,0.02,0.98,0.01
2015-07-02,2015-07-06,oil prices crude inventories us production supply glut brent crude,negative,0.02,0.98,0.0
2015-07-03,2015-07-06,crude oil us stockpiles greece debt oil prices global supply,negative,0.03,0.97,0.0
2015-07-05,2015-07-06,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-06,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-01,2015-07-07,crude oil inventory wti eia prices,negative,0.02,0.98,0.01
2015-07-02,2015-07-07,oil prices crude inventories us production supply glut brent crude,negative,0.02,0.98,0.0
2015-07-03,2015-07-07,crude oil us stockpiles greece debt oil prices global supply,negative,0.03,0.97,0.0
2015-07-05,2015-07-07,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-07,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-07,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-02,2015-07-08,oil prices crude inventories us production supply glut brent crude,negative,0.02,0.98,0.0
2015-07-03,2015-07-08,crude oil us stockpiles greece debt oil prices global supply,negative,0.03,0.97,0.0
2015-07-05,2015-07-08,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-08,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-08,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-08,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-03,2015-07-09,crude oil us stockpiles greece debt oil prices global supply,negative,0.03,0.97,0.0
2015-07-05,2015-07-09,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-09,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-09,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-09,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-09,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-05,2015-07-10,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-10,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-10,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-10,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-10,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-10,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-10,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-05,2015-07-11,oil prices us rig count supply glut iran nuclear talks greece referendum,negative,0.05,0.95,0.0
2015-07-06,2015-07-11,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-11,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-11,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-11,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-11,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-11,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-06,2015-07-12,oil prices greece china oversupply iran,negative,0.02,0.98,0.0
2015-07-07,2015-07-12,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-12,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-12,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-12,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-12,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-12,2015-07-12,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-07,2015-07-13,gold greece eurozone china stocks copper,negative,0.0,1.0,0.0
2015-07-08,2015-07-13,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-13,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-13,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-13,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-12,2015-07-13,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-13,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-08,2015-07-14,gold federal reserve greece china stocks copper,negative,0.0,0.99,0.0
2015-07-09,2015-07-14,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-14,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-14,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-12,2015-07-14,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-14,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-14,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-09,2015-07-15,oil futures china stocks crude inventories greece bailout iran talks,negative,0.03,0.97,0.0
2015-07-10,2015-07-15,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-15,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-12,2015-07-15,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-15,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-15,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-15,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-10,2015-07-16,crude oil iran federal reserve greece oil rigs,negative,0.11,0.89,0.0
2015-07-10,2015-07-16,gold us dollar greece debt jobless claims china stocks,positive,0.72,0.28,0.0
2015-07-12,2015-07-16,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-16,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-16,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-16,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-16,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-12,2015-07-17,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-17,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-17,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-17,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-17,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-17,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-12,2015-07-18,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-07-13,2015-07-18,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-18,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-18,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-18,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-18,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-13,2015-07-19,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-14,2015-07-19,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-19,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-19,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-19,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-19,2015-07-19,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-14,2015-07-20,iran nuclear deal oil prices crude oversupply brent us stockpiles,negative,0.04,0.96,0.0
2015-07-15,2015-07-20,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-20,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-20,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-19,2015-07-20,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-20,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-15,2015-07-21,crude oil greece inventories iran opec,negative,0.03,0.96,0.0
2015-07-16,2015-07-21,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-21,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-19,2015-07-21,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-21,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-21,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-16,2015-07-22,gold prices greek debt interest rates holiday closures federal reserve,negative,0.01,0.98,0.0
2015-07-17,2015-07-22,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-19,2015-07-22,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-22,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-22,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-22,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-17,2015-07-23,wti crude oil prices oversupply rig count opec,negative,0.01,0.99,0.0
2015-07-19,2015-07-23,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-23,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-23,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-23,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-23,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-19,2015-07-24,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-24,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-24,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-24,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-24,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-24,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-19,2015-07-25,oil prices supply glut us dollar iran exports brent crude,negative,0.02,0.98,0.0
2015-07-20,2015-07-25,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-25,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-25,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-25,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-25,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-20,2015-07-26,gold prices flash crash shanghai highfrequency trading us dollar,negative,0.02,0.98,0.0
2015-07-21,2015-07-26,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-26,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-26,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-26,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-26,2015-07-26,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-21,2015-07-27,oil prices us production iran exports crude stockpiles strong dollar,negative,0.01,0.99,0.0
2015-07-22,2015-07-27,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-27,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-27,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-26,2015-07-27,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-07-27,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-22,2015-07-28,crude oil stockpiles prices opec iran,negative,0.01,0.98,0.0
2015-07-23,2015-07-28,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-28,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-26,2015-07-28,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-07-28,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-07-28,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-23,2015-07-29,crude oil china manufacturing inventory build iran nuclear deal global supply,negative,0.02,0.98,0.0
2015-07-24,2015-07-29,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-26,2015-07-29,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-07-29,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-07-29,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-07-29,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-07-29,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-24,2015-07-30,gold prices us jobless claims greece bailout interest rates precious metals,negative,0.08,0.92,0.0
2015-07-26,2015-07-30,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-07-30,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-07-30,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-07-30,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-07-30,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-07-30,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-26,2015-07-31,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-07-31,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-07-31,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-07-31,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-07-31,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-07-31,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-07-31,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-07-26,2015-08-01,oil prices us production brent crude iran exports china economy,negative,0.05,0.95,0.0
2015-07-27,2015-08-01,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-08-01,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-08-01,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-08-01,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-08-01,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-08-01,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-07-27,2015-08-02,oil prices us production brent crude iran exports global supply,negative,0.05,0.94,0.0
2015-07-28,2015-08-02,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-08-02,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-08-02,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-08-02,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-08-02,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-08-02,2015-08-02,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-07-28,2015-08-03,copper china stocks gold federal reserve greece bailout,negative,0.01,0.99,0.0
2015-07-29,2015-08-03,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-08-03,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-08-03,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-08-03,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-08-02,2015-08-03,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-03,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-07-29,2015-08-04,crude oil inventories saudi arabia production cuts oil prices,positive,0.98,0.02,0.0
2015-07-29,2015-08-04,crude oil brent iran oversupply prices,negative,0.01,0.98,0.0
2015-07-30,2015-08-04,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-08-04,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-08-02,2015-08-04,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-04,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-04,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-07-30,2015-08-05,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
2015-07-31,2015-08-05,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-08-02,2015-08-05,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-05,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-05,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-05,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-07-31,2015-08-06,crude oil rate hike us economy dollar strength brent,positive,0.98,0.02,0.0
2015-08-02,2015-08-06,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-06,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-06,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-06,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-06,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-02,2015-08-07,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-07,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-07,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-07,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-07,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-07,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-02,2015-08-08,crude oil global glut iran exports us production brent futures,negative,0.02,0.97,0.0
2015-08-03,2015-08-08,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-08,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-08,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-08,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-08,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-03,2015-08-09,crude oil supply glut china demand brent futures us dollar,negative,0.02,0.98,0.0
2015-08-04,2015-08-09,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-09,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-09,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-09,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-09,2015-08-09,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-04,2015-08-10,natural gas prices weather storage demand,negative,0.03,0.97,0.0
2015-08-05,2015-08-10,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-10,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-10,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-09,2015-08-10,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-10,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-05,2015-08-11,oil prices crude inventories wti brent supply glut,negative,0.02,0.98,0.0
2015-08-06,2015-08-11,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-11,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-09,2015-08-11,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-11,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-11,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-06,2015-08-12,oil prices supply glut us dollar jobless claims brent crude,negative,0.02,0.98,0.0
2015-08-07,2015-08-12,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-09,2015-08-12,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-12,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-12,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-12,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-07,2015-08-13,crude oil nonfarm payrolls federal reserve interest rates dollar index,negative,0.03,0.96,0.0
2015-08-09,2015-08-13,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-13,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-13,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-13,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-13,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-09,2015-08-14,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-14,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-14,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-14,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-14,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-14,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-09,2015-08-15,natural gas futures weather storage demand,negative,0.03,0.97,0.0
2015-08-10,2015-08-15,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-15,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-15,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-15,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-15,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-10,2015-08-16,oil prices refinery outage gasoline diesel brent crude,negative,0.03,0.97,0.0
2015-08-11,2015-08-16,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-16,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-16,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-16,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-16,2015-08-16,gold dollar china devaluation federal reserve commodities,negative,0.03,0.97,0.0
2015-08-11,2015-08-17,crude oil opec oversupply prices china,negative,0.02,0.98,0.0
2015-08-12,2015-08-17,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-17,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-17,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-16,2015-08-17,gold dollar china devaluation federal reserve commodities,negative,0.03,0.97,0.0
2015-08-17,2015-08-17,oil prices oversupply japan economy us production refinery maintenance,negative,0.03,0.97,0.0
2015-08-12,2015-08-18,crude oil inventories eia opec shale,negative,0.01,0.99,0.0
2015-08-13,2015-08-18,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-18,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-16,2015-08-18,gold dollar china devaluation federal reserve commodities,negative,0.03,0.97,0.0
2015-08-17,2015-08-18,oil prices oversupply japan economy us production refinery maintenance,negative,0.03,0.97,0.0
2015-08-18,2015-08-18,crude oil federal reserve china inventories dollar,negative,0.02,0.98,0.0
2015-08-13,2015-08-19,crude oil oversupply dollar strength eia forecasts opec production,negative,0.04,0.96,0.0
2015-08-14,2015-08-19,crude oil oversupply refinery shutdown brent price outlook,negative,0.05,0.95,0.0
2015-08-16,2015-08-19,gold dollar china devaluation federal reserve commodities,negative,0.03,0.97,0.0
2015-08-17,2015-08-19,oil prices oversupply japan economy us production refinery maintenance,negative,0.03,0.97,0.0
2015-08-18,2015-08-19,crude oil federal reserve china inventories dollar,negative,0.02,0.98,0.0
2015-08-19,2015-08-19,crude oil oversupply fed rates china demand inventories,negative,0.01,0.99,0.0
